msmarco_passage_20_838723280	p0
msmarco_passage_28_452414435	p1
msmarco_passage_47_573935750	p2
msmarco_passage_50_622841760	p3
msmarco_passage_25_201843273	p4
msmarco_passage_11_801732724	p5
msmarco_passage_09_605003368	p6
msmarco_passage_25_201836937	p7
msmarco_passage_34_834451264	p8
msmarco_passage_07_713858431	p9
msmarco_passage_00_2048792	p10
msmarco_passage_13_103622504	p11
msmarco_passage_61_523837624	p12
msmarco_passage_28_406711478	p13
msmarco_passage_67_197820660	p14
msmarco_passage_25_161053959	p15
msmarco_passage_11_736486760	p16
msmarco_passage_10_523051372	p17
msmarco_passage_02_407801432	p18
msmarco_passage_19_369041782	p19
msmarco_passage_04_841315402	p20
msmarco_passage_55_191660530	p21
msmarco_passage_67_105007103	p22
msmarco_passage_52_519211399	p23
msmarco_passage_20_802806903	p24
msmarco_passage_67_266493891	p25
msmarco_passage_41_832975148	p26
msmarco_passage_03_94129031	p27
msmarco_passage_23_726257865	p28
msmarco_passage_47_188667992	p29
msmarco_passage_00_726126312	p30
msmarco_passage_68_767002462	p31
msmarco_passage_66_103851497	p32
msmarco_passage_65_298305520	p33
msmarco_passage_34_591808214	p34
msmarco_passage_58_261751112	p35
msmarco_passage_21_426030173	p36
msmarco_passage_66_40925914	p37
msmarco_passage_54_277773499	p38
msmarco_passage_52_587345567	p39
msmarco_passage_58_738146468	p40
msmarco_passage_49_123376376	p41
msmarco_passage_36_384929403	p42
msmarco_passage_39_60684324	p43
msmarco_passage_47_278486256	p44
msmarco_passage_37_169473718	p45
msmarco_passage_59_292578501	p46
msmarco_passage_68_76280555	p47
msmarco_passage_67_604400481	p48
msmarco_passage_24_644259688	p49
msmarco_passage_28_96643664	p50
msmarco_passage_02_180714372	p51
msmarco_passage_58_402340173	p52
msmarco_passage_10_336585315	p53
msmarco_passage_57_429151389	p54
msmarco_passage_32_149941278	p55
msmarco_passage_10_734645578	p56
msmarco_passage_33_50720996	p57
msmarco_passage_03_225295092	p58
msmarco_passage_14_305476853	p59
msmarco_passage_57_743284286	p60
msmarco_passage_05_787259641	p61
msmarco_passage_42_91082747	p62
msmarco_passage_53_809744767	p63
msmarco_passage_31_496576222	p64
msmarco_passage_06_599707227	p65
msmarco_passage_23_111381627	p66
msmarco_passage_61_818875752	p67
msmarco_passage_51_89207400	p68
msmarco_passage_63_515054686	p69
msmarco_passage_16_428927640	p70
msmarco_passage_23_69448479	p71
msmarco_passage_67_335242915	p72
msmarco_passage_03_552920253	p73
msmarco_passage_23_726258406	p74
msmarco_passage_01_169147846	p75
msmarco_passage_54_378212088	p76
msmarco_passage_52_141283394	p77
msmarco_passage_68_186130939	p78
msmarco_passage_25_664437127	p79
msmarco_passage_52_120491303	p80
msmarco_passage_17_308534399	p81
msmarco_passage_68_213636589	p82
msmarco_passage_67_263233459	p83
msmarco_passage_09_692685880	p84
msmarco_passage_58_859920671	p85
msmarco_passage_53_783787871	p86
msmarco_passage_10_308559571	p87
msmarco_passage_23_554088577	p88
msmarco_passage_26_872086525	p89
msmarco_passage_27_726895399	p90
msmarco_passage_31_713980872	p91
msmarco_passage_54_6411275	p92
msmarco_passage_36_163423123	p93
msmarco_passage_29_305446346	p94
msmarco_passage_58_296750797	p95
msmarco_passage_39_639267776	p96
msmarco_passage_09_66143201	p97
msmarco_passage_67_212322532	p98
msmarco_passage_53_200239252	p99
msmarco_passage_58_321335295	p100
msmarco_passage_60_502544663	p101
msmarco_passage_23_728514597	p102
msmarco_passage_67_104047696	p103
msmarco_passage_58_464249044	p104
msmarco_passage_17_411946011	p105
msmarco_passage_42_92673811	p106
msmarco_passage_00_573479356	p107
msmarco_passage_23_618226410	p108
msmarco_passage_06_661851473	p109
msmarco_passage_04_280157180	p110
msmarco_passage_63_722530814	p111
msmarco_passage_17_721836121	p112
msmarco_passage_65_56642094	p113
msmarco_passage_10_755237781	p114
msmarco_passage_16_723622144	p115
msmarco_passage_42_441773151	p116
msmarco_passage_01_590252850	p117
msmarco_passage_42_826480138	p118
msmarco_passage_56_257189228	p119
msmarco_passage_49_188631893	p120
msmarco_passage_54_599743470	p121
msmarco_passage_31_179065084	p122
msmarco_passage_44_478892201	p123
msmarco_passage_19_144983406	p124
msmarco_passage_34_418819814	p125
msmarco_passage_20_185136424	p126
msmarco_passage_47_680374136	p127
msmarco_passage_24_109446615	p128
msmarco_passage_39_815758631	p129
msmarco_passage_67_212561721	p130
msmarco_passage_00_431449902	p131
msmarco_passage_37_263744857	p132
msmarco_passage_05_519786783	p133
msmarco_passage_36_765141809	p134
msmarco_passage_08_171389124	p135
msmarco_passage_45_744859993	p136
msmarco_passage_19_770728379	p137
msmarco_passage_47_349372632	p138
msmarco_passage_16_48490533	p139
msmarco_passage_37_685719262	p140
msmarco_passage_34_202447559	p141
msmarco_passage_11_860236762	p142
msmarco_passage_10_158538303	p143
msmarco_passage_39_609379083	p144
msmarco_passage_32_592387202	p145
msmarco_passage_64_844481214	p146
msmarco_passage_29_246026576	p147
msmarco_passage_00_521296406	p148
msmarco_passage_09_834080295	p149
msmarco_passage_65_378368293	p150
msmarco_passage_10_550770659	p151
msmarco_passage_10_336586063	p152
msmarco_passage_07_838777855	p153
msmarco_passage_30_456172888	p154
msmarco_passage_12_685791403	p155
msmarco_passage_51_159532007	p156
msmarco_passage_29_685042281	p157
msmarco_passage_02_322977382	p158
msmarco_passage_05_273663724	p159
msmarco_passage_15_721430445	p160
msmarco_passage_05_342422866	p161
msmarco_passage_47_13097852	p162
msmarco_passage_11_99851237	p163
msmarco_passage_10_91970454	p164
msmarco_passage_62_530317423	p165
msmarco_passage_33_574554937	p166
msmarco_passage_04_747859263	p167
msmarco_passage_28_613916495	p168
msmarco_passage_51_681017630	p169
msmarco_passage_44_92269387	p170
msmarco_passage_25_210878432	p171
msmarco_passage_42_739832642	p172
msmarco_passage_28_441913743	p173
msmarco_passage_25_133349014	p174
msmarco_passage_04_82539207	p175
msmarco_passage_38_288594908	p176
msmarco_passage_58_738144738	p177
msmarco_passage_02_109758060	p178
msmarco_passage_35_691842133	p179
msmarco_passage_27_643364114	p180
msmarco_passage_49_337082812	p181
msmarco_passage_67_375890115	p182
msmarco_passage_11_460131648	p183
msmarco_passage_58_237163924	p184
msmarco_passage_63_385125336	p185
msmarco_passage_38_740061673	p186
msmarco_passage_20_461812076	p187
msmarco_passage_01_487203227	p188
msmarco_passage_61_798321441	p189
msmarco_passage_11_539321060	p190
msmarco_passage_62_584734796	p191
msmarco_passage_36_213593124	p192
msmarco_passage_54_277737250	p193
msmarco_passage_53_360137	p194
msmarco_passage_03_438740606	p195
msmarco_passage_45_433473311	p196
msmarco_passage_15_456936977	p197
msmarco_passage_04_400839271	p198
msmarco_passage_58_470009577	p199
msmarco_passage_05_219652680	p200
msmarco_passage_63_442655210	p201
msmarco_passage_49_737163817	p202
msmarco_passage_03_340017564	p203
msmarco_passage_35_581901893	p204
msmarco_passage_04_272034836	p205
msmarco_passage_49_211990303	p206
msmarco_passage_05_545126578	p207
